Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
USEXPGSAA,"United States Exports of Goods and Services (Bil. of $, NA)",Exports and Imports,United States Dollar,United States,,,,,,,National Currency,Billions,Annual,none,Annual From Jan 1929 To Jan 2020<BR>,"Source: Federal Reserve Bank of St. Louis. The data is collected from the FRED database. The FRED database uses data from the Board of Governors of the Federal Reserve System, the Federal Reserve Bank of Philadelphia, the Federal Reserve Bank of St. Louis, the Office of Federal Housing Enterprise Oversight, The White House Council of Economic Advisors and Office of Management and Budget, the Congressional Budget Office, the U.S. Department of Commerce, the U.S. Department of Housing and Urban Development, the Bureau of Labor Statistics and the U.S. Department of the Treasury.",
Date,Ticker,Open,High,Low,Close
12/31/1969,USEXPGSAA,,,,51.9
12/31/1970,USEXPGSAA,,,,59.7
12/31/1971,USEXPGSAA,,,,63
12/31/1972,USEXPGSAA,,,,70.8
12/31/1973,USEXPGSAA,,,,95.3
12/31/1974,USEXPGSAA,,,,126.7
12/31/1975,USEXPGSAA,,,,138.7
12/31/1976,USEXPGSAA,,,,149.5
12/31/1977,USEXPGSAA,,,,159.4
12/31/1978,USEXPGSAA,,,,186.9
12/31/1979,USEXPGSAA,,,,230.1
12/31/1980,USEXPGSAA,,,,280.8
12/31/1981,USEXPGSAA,,,,305.2
12/31/1982,USEXPGSAA,,,,283.2
12/31/1983,USEXPGSAA,,,,277
12/31/1984,USEXPGSAA,,,,302.4
12/31/1985,USEXPGSAA,,,,303.2
12/31/1986,USEXPGSAA,,,,321
12/31/1987,USEXPGSAA,,,,363.9
12/31/1988,USEXPGSAA,,,,444.6
12/31/1989,USEXPGSAA,,,,504.3
12/31/1990,USEXPGSAA,,,,551.9
12/31/1991,USEXPGSAA,,,,594.9
12/31/1992,USEXPGSAA,,,,633.1
12/31/1993,USEXPGSAA,,,,654.8
12/31/1994,USEXPGSAA,,,,720.9
12/31/1995,USEXPGSAA,,,,812.8
12/31/1996,USEXPGSAA,,,,867.6
12/31/1997,USEXPGSAA,,,,953.8
12/31/1998,USEXPGSAA,,,,953
12/31/1999,USEXPGSAA,,,,992
12/31/2000,USEXPGSAA,,,,1096.8
12/31/2001,USEXPGSAA,,,,1026.7
12/31/2002,USEXPGSAA,,,,1002.5
12/31/2003,USEXPGSAA,,,,1040.3
12/31/2004,USEXPGSAA,,,,1181.5
12/31/2005,USEXPGSAA,,,,1308.9
12/31/2006,USEXPGSAA,,,,1476.3
12/31/2007,USEXPGSAA,,,,1664.6
12/31/2008,USEXPGSAA,,,,1841.9
12/31/2009,USEXPGSAA,,,,1587.7
12/31/2010,USEXPGSAA,,,,1852.3
12/31/2011,USEXPGSAA,,,,2106.4
12/31/2012,USEXPGSAA,,,,2194.2
12/31/2013,USEXPGSAA,,,,2262.2
12/31/2014,USEXPGSAA,,,,2335.1
01/01/2015,USEXPGSAA,,,,2265.862
01/01/2016,USEXPGSAA,,,,2227.174
01/01/2017,USEXPGSAA,,,,2374.56
01/01/2018,USEXPGSAA,,,,2528.704
01/01/2019,USEXPGSAA,,,,2514.751
01/01/2020,USEXPGSAA,,,,2126.605
