Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
ITUSA6CMD,USA Government 6-Month T-Bills Constant Maturity Yield,Treasury Bill Yields,United States Dollar,United States,,,0,,,,Percent per Annum,Units,Stock,none,Daily From Jan 1982 To Feb 2021<BR>,"Sources: Board of Governors of the Federal Reserve System, Federal Reserve Bulletin (1935-) <br />Notes: Treasury bills were introduced in the United States in 1929, but no data are available before 1931. Prior to that data on treasury bills with a maturity of 3-6 months, as calculated by the Federal Reserve, is used.  Data prior to 1931 are for the shortest term US bond that is available.  <br />Treasury bill secondary market rates are the averages of the bid rates quoted on a bank discount basis by a sample of primary dealers who report to the federal reserve bank of new york. The rates reported are based on quotes at the official close of the  U.S. government securities market for each business day.",
Date,Ticker,Open,High,Low,Close
01/02/1990,ITUSA6CMD,,,,7.89
01/03/1990,ITUSA6CMD,,,,7.94
01/04/1990,ITUSA6CMD,,,,7.9
01/05/1990,ITUSA6CMD,,,,7.85
01/08/1990,ITUSA6CMD,,,,7.88
01/09/1990,ITUSA6CMD,,,,7.82
01/10/1990,ITUSA6CMD,,,,7.78
01/11/1990,ITUSA6CMD,,,,7.8
01/12/1990,ITUSA6CMD,,,,7.81
01/16/1990,ITUSA6CMD,,,,7.99
01/17/1990,ITUSA6CMD,,,,7.97
01/18/1990,ITUSA6CMD,,,,8.08
01/19/1990,ITUSA6CMD,,,,8.01
01/22/1990,ITUSA6CMD,,,,7.99
01/23/1990,ITUSA6CMD,,,,7.97
01/24/1990,ITUSA6CMD,,,,7.99
01/25/1990,ITUSA6CMD,,,,8.01
01/26/1990,ITUSA6CMD,,,,8.04
01/29/1990,ITUSA6CMD,,,,8.09
01/30/1990,ITUSA6CMD,,,,8.14
01/31/1990,ITUSA6CMD,,,,8.13
02/01/1990,ITUSA6CMD,,,,8.13
02/02/1990,ITUSA6CMD,,,,8.17
02/05/1990,ITUSA6CMD,,,,8.18
02/06/1990,ITUSA6CMD,,,,8.17
02/07/1990,ITUSA6CMD,,,,8.19
02/08/1990,ITUSA6CMD,,,,8.18
02/09/1990,ITUSA6CMD,,,,8.09
02/12/1990,ITUSA6CMD,,,,8.11
02/13/1990,ITUSA6CMD,,,,7.97
02/14/1990,ITUSA6CMD,,,,8
02/15/1990,ITUSA6CMD,,,,8.08
02/16/1990,ITUSA6CMD,,,,8.07
02/20/1990,ITUSA6CMD,,,,8.2
02/21/1990,ITUSA6CMD,,,,8.19
02/22/1990,ITUSA6CMD,,,,8.15
02/23/1990,ITUSA6CMD,,,,8.09
02/26/1990,ITUSA6CMD,,,,8.09
02/27/1990,ITUSA6CMD,,,,8.1
02/28/1990,ITUSA6CMD,,,,8.14
03/01/1990,ITUSA6CMD,,,,8.19
03/02/1990,ITUSA6CMD,,,,8.17
03/05/1990,ITUSA6CMD,,,,8.27
03/06/1990,ITUSA6CMD,,,,8.24
03/07/1990,ITUSA6CMD,,,,8.22
03/08/1990,ITUSA6CMD,,,,8.24
03/09/1990,ITUSA6CMD,,,,8.33
03/12/1990,ITUSA6CMD,,,,8.33
03/13/1990,ITUSA6CMD,,,,8.34
03/14/1990,ITUSA6CMD,,,,8.31
03/15/1990,ITUSA6CMD,,,,8.32
03/16/1990,ITUSA6CMD,,,,8.29
03/19/1990,ITUSA6CMD,,,,8.32
03/20/1990,ITUSA6CMD,,,,8.35
03/21/1990,ITUSA6CMD,,,,8.34
03/22/1990,ITUSA6CMD,,,,8.27
03/23/1990,ITUSA6CMD,,,,8.26
03/26/1990,ITUSA6CMD,,,,8.28
03/27/1990,ITUSA6CMD,,,,8.3
03/28/1990,ITUSA6CMD,,,,8.27
03/29/1990,ITUSA6CMD,,,,8.28
03/30/1990,ITUSA6CMD,,,,8.24
04/02/1990,ITUSA6CMD,,,,8.23
04/03/1990,ITUSA6CMD,,,,8.25
04/04/1990,ITUSA6CMD,,,,8.17
04/05/1990,ITUSA6CMD,,,,8.18
04/06/1990,ITUSA6CMD,,,,8.16
04/09/1990,ITUSA6CMD,,,,8.23
04/10/1990,ITUSA6CMD,,,,8.21
04/11/1990,ITUSA6CMD,,,,8.2
04/12/1990,ITUSA6CMD,,,,8.2
04/16/1990,ITUSA6CMD,,,,8.18
04/17/1990,ITUSA6CMD,,,,8.23
04/18/1990,ITUSA6CMD,,,,8.3
04/19/1990,ITUSA6CMD,,,,8.28
04/20/1990,ITUSA6CMD,,,,8.24
04/23/1990,ITUSA6CMD,,,,8.31
04/24/1990,ITUSA6CMD,,,,8.36
04/25/1990,ITUSA6CMD,,,,8.4
04/26/1990,ITUSA6CMD,,,,8.45
04/27/1990,ITUSA6CMD,,,,8.38
04/30/1990,ITUSA6CMD,,,,8.44
05/01/1990,ITUSA6CMD,,,,8.49
05/02/1990,ITUSA6CMD,,,,8.49
05/03/1990,ITUSA6CMD,,,,8.45
05/04/1990,ITUSA6CMD,,,,8.25
05/07/1990,ITUSA6CMD,,,,8.26
05/08/1990,ITUSA6CMD,,,,8.22
05/09/1990,ITUSA6CMD,,,,8.2
05/10/1990,ITUSA6CMD,,,,8.15
05/11/1990,ITUSA6CMD,,,,8.04
05/14/1990,ITUSA6CMD,,,,8.06
05/15/1990,ITUSA6CMD,,,,8.09
05/16/1990,ITUSA6CMD,,,,8.09
05/17/1990,ITUSA6CMD,,,,8.1
05/18/1990,ITUSA6CMD,,,,8.16
05/21/1990,ITUSA6CMD,,,,8.18
05/22/1990,ITUSA6CMD,,,,8.18
05/23/1990,ITUSA6CMD,,,,8.11
05/24/1990,ITUSA6CMD,,,,8.12
05/25/1990,ITUSA6CMD,,,,8.18
05/29/1990,ITUSA6CMD,,,,8.17
05/30/1990,ITUSA6CMD,,,,8.09
05/31/1990,ITUSA6CMD,,,,8.12
06/01/1990,ITUSA6CMD,,,,8.01
06/04/1990,ITUSA6CMD,,,,8.03
06/05/1990,ITUSA6CMD,,,,8.03
